Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/547,B60K6/365,B60K6/405,B60K2006/4825,Y02T10/6252
US6857985,1,1,1,1,0,0,0,0
US9644709,1,1,1,1,0,0,0,0
US9533680,1,1,1,1,0,0,0,0
US8974339,1,1,0,0,1,0,1,1
US9162665,1,1,0,0,1,0,1,1
DE102012023702A1,1,1,1,1,1,0,0,0
JP2017214982A,1,1,1,1,0,0,1,1
WO2018121885A1,1,1,0,0,1,0,1,1
DE102013222725A1,1,1,0,1,1,0,1,1
WO2014190978A1,1,1,0,1,0,0,1,1
US9358873,1,1,0,1,0,0,1,1
EP3296592A1,1,1,0,1,0,0,1,1
WO2012101792A1,1,1,0,1,0,0,1,1
US9616878,1,1,0,1,0,0,1,1
WO2018077456A1,1,1,0,1,0,0,1,1
WO2018113835A1,1,1,0,1,0,0,1,1
US9050881,1,1,0,1,0,0,1,1
WO2013137051A1,1,1,0,1,0,0,1,1
US6692405,1,1,0,1,0,0,1,1
EP2821306B1,1,1,0,1,0,0,1,1
US9919698,1,1,0,1,0,0,1,1
US9032823,1,1,0,1,0,0,1,1
US10350986,1,1,0,1,0,0,1,1
US9205833,1,1,0,1,0,0,1,1
US9618085,1,1,0,1,0,0,1,1
US8960033,1,1,0,1,0,0,1,1
US7313473,1,1,0,1,0,0,1,1
US9260111,1,1,0,1,0,0,1,1
DE10360804B4,1,1,1,1,0,0,0,0
FR2859141A1,1,1,1,1,0,0,0,0
US9333966,1,1,1,1,0,0,0,0
US20060225984A1,1,1,1,1,0,0,0,0
FR2882002B1,1,1,1,1,0,0,0,0
US8352135,1,1,1,1,0,0,0,0
FR2699127B1,1,1,1,1,0,0,0,0
DE102005024359B4,1,1,1,1,0,0,0,0
EP3261233A1,1,1,1,1,0,0,0,0
US6887180,1,1,1,1,0,0,0,0
US9327715,1,1,1,1,0,0,0,0
EP3529097A1,1,1,1,1,0,0,0,0
EP2832569B1,1,1,1,1,0,0,0,0
US6364042,1,1,1,1,0,0,0,0
US20190118638A1,1,1,1,1,0,0,0,0
US9365103,1,1,1,1,0,0,0,0
US5669842,1,1,1,0,1,0,0,0
WO2013146176A1,1,1,1,0,1,0,0,0
WO2018185258A1,1,1,1,0,1,0,0,0
US9724991,1,1,1,0,1,0,0,0
US10369876,1,1,1,0,1,0,0,0
WO2015169293A1,1,1,1,0,1,0,0,0
WO2018169463A1,1,1,1,0,1,0,0,0
WO2012076239A1,1,1,1,0,1,0,0,0
DE102011085198A1,1,1,1,0,1,0,0,0
US9347416,1,1,0,0,1,0,1,1
US9410601,1,1,0,1,0,0,1,1
WO2013150966A1,1,1,0,1,0,0,1,1
US9032825,1,1,0,1,0,0,1,1
US9020677,1,1,0,1,0,0,1,1
US10232700,1,1,0,1,0,0,1,1
US10183571,1,1,0,1,0,0,1,1
US10311653,1,1,0,0,1,0,1,1
DE102013222724A1,1,1,0,1,1,0,1,1
DE102013205433A1,1,1,0,1,1,0,1,1
DE102014222234A1,1,1,0,1,1,0,1,1
US9109672,1,1,0,0,1,0,1,1
DE102010036510A1,1,1,0,0,1,0,1,1
US10081240,1,1,0,0,1,0,1,1
US9039561,1,1,0,0,1,0,1,1
DE102008000953A1,1,1,1,1,1,0,0,0
US6846257,1,1,1,0,1,0,0,0
WO2018046039A1,1,1,1,0,1,0,0,0
EP3490832A1,1,1,1,0,1,0,0,0
FR2742703B1,1,1,1,0,1,0,0,0
US7220203,1,1,1,0,1,0,0,0
DE19916489C2,1,1,1,0,1,0,0,0
WO2014092042A1,1,1,1,1,0,1,0,0
US10059329,1,1,0,1,0,0,1,1
WO2013139417A1,1,1,0,1,0,0,1,1
WO2012098669A1,1,1,0,1,0,0,1,1
US7131510,1,1,0,1,0,0,1,1
US10286773,1,1,0,1,0,0,1,1
DE102011080068A1,1,1,0,1,0,0,1,1
US10093166,1,1,1,1,0,0,0,0
FR359242A,1,1,1,1,0,0,0,0
US9511762,1,1,1,1,0,0,0,0
US7832537,1,1,1,1,0,0,0,0
EP0724977A1,1,1,1,1,0,0,0,0
US7140461,1,1,1,0,1,0,0,0
US20180201115A1,1,1,1,0,1,0,0,0
US6371877,1,1,1,0,1,0,0,0
US7300374,1,1,1,0,1,0,0,0
WO2018128012A1,1,1,1,0,1,0,0,0
WO2003091601A1,1,1,1,0,1,0,0,0
US9340101,1,1,1,0,1,0,0,0
DE102010030567A1,1,1,1,1,1,0,0,0
US9890754,1,1,1,1,0,0,0,0
